CIK,Form,AccessionNumber,ReportDate,FilingURL
0000320193,10-K,0000320193-24-000123,2024-09-28,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/0000320193-24-000123-index.html
0000320193,10-K,0000320193-23-000106,2023-09-30,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.html
0000320193,10-K,0000320193-22-000108,2022-09-24,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.html
0000320193,10-K,0000320193-21-000105,2021-09-25,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.html
0000320193,10-K,0000320193-20-000096,2020-09-26,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.html
0000320193,10-K,0000320193-19-000119,2019-09-28,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html
0000320193,10-K,0000320193-18-000145,2018-09-29,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html
0000320193,10-K,0000320193-17-000070,2017-09-30,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.html
0000320193,10-K,0001628280-16-020309,2016-09-24,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.html
0000320193,10-K,0001193125-15-356351,2015-09-26,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.html
0000320193,10-K,0001193125-14-383437,2014-09-27,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.html
0000789019,10-K,0000950170-24-087843,2024-06-30,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/0000950170-24-087843-index.html
0000789019,10-K,0000950170-23-035122,2023-06-30,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.html
0000789019,10-K,0001564590-22-026876,2022-06-30,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.html
0000789019,10-K,0001564590-21-039151,2021-06-30,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.html
0000789019,10-K,0001564590-20-034944,2020-06-30,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.html
0000789019,10-K,0001564590-19-027952,2019-06-30,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/0001564590-19-027952-index.html
0001018724,10-K,0001018724-25-000004,2024-12-31,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/0001018724-25-000004-index.html
0001018724,10-K,0001018724-24-000008,2023-12-31,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/0001018724-24-000008-index.html
0001018724,10-K,0001018724-23-000004,2022-12-31,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/0001018724-23-000004-index.html
0001018724,10-K,0001018724-22-000005,2021-12-31,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/0001018724-22-000005-index.html
0001018724,10-K,0001018724-21-000004,2020-12-31,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/0001018724-21-000004-index.html
0001018724,10-K,0001018724-20-000004,2019-12-31,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/0001018724-20-000004-index.html
0001018724,10-K,0001018724-19-000004,2018-12-31,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000004/0001018724-19-000004-index.html
